none
none
none
none
none
none
none
none
none
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"c" "n" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"b" "m" "q" 1; "c" "n" 1; "e" "u" "y" 1;
"a" "a" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "g" "k" "u" 1; "b" "m" "q" 1; "c" "n" "p" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "m" "q" 1; "c" "n" "p" 1; "d" "d" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "m" "q" 1; "c" "n" "p" 1; "d" "d" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "m" "q" 1; "c" "n" "p" 1; "d" "d" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "r" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "h" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "p" 1; "d" "d" "k" "r" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "h" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" 1; "c" "n" "o" "p" 1; "d" "d" "k" "l" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "h" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" "t" 1; "c" "d" "n" "o" "p" 1; "d" "d" "k" "l" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "h" "k" "r" "s" "u" 1; "b" "j" "k" "m" "q" "t" 1; "c" "d" "n" "o" "p" 1; "d" "d" "k" "l" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "g" "h" "k" "r" "s" "u" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "d" "n" "o" "p" 1; "d" "d" "h" "k" "l" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "d" "n" "o" "p" 1; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" "v" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" "v" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" "v" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" "v" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" "v" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" "v" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" "v" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" "v" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" "v" 1; "b" "b" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "u" "v" 1; "b" "b" "i" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "t" "u" "v" 1; "b" "b" "i" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "t" "u" "v" 1; "b" "b" "i" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "t" "u" "v" 1; "b" "b" "i" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "t" "u" "v" 1; "b" "b" "i" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "t" "u" "v" 1; "b" "b" "i" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 2;
"a" "a" "d" "f" "g" "h" "k" "r" "s" "t" "u" "v" 1; "b" "b" "i" "j" "k" "m" "q" "t" 1; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 3;
"a" "f" 2; "b" "k" 2; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 3;
"a" "f" 2; "b" "k" 2; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 3;
"a" "f" 2; "b" "k" 2; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 3;
"a" "f" 2; "b" "k" 2; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 3;
"a" "f" 2; "b" "k" 2; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 3;
"a" "f" 2; "b" "k" 2; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 3;
"a" "f" 2; "b" "k" 2; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "u" 3;
"a" "f" 2; "b" "k" 3; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" 1; "e" "o" "u" 3;
"a" "f" 2; "b" "k" 3; "c" "p" 2; "d" "d" "h" "k" "l" "q" "r" "v" "w" "y" 1; "e" "o" "u" 3;
