none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"d" "b" 1;
"d" "b" 1;
"d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"b" "z" 1; "d" "b" 1;
"a" "p" 1; "b" "z" 1; "c" "q" 1; "d" "b" 1;
"a" "p" 1; "b" "z" 1; "c" "q" 1; "d" "b" 1; "e" "n" 1;
"a" "p" 1; "b" "z" 1; "c" "q" 1; "d" "b" 1; "e" "n" 1;
"a" "p" 1; "b" "z" 1; "c" "q" 1; "d" "b" 1; "e" "n" 1;
"a" "p" 1; "b" "z" 1; "c" "q" 1; "d" "a" "b" 1; "e" "n" 1;
"a" "f" "p" 1; "b" "d" "z" 1; "c" "q" 1; "d" "a" "b" 1; "e" "n" 1;
"a" "f" "p" 1; "b" "d" "z" 1; "c" "q" 1; "d" "a" "b" 1; "e" "n" 1;
"a" "f" "p" 1; "b" "d" "z" 1; "c" "q" "t" 1; "d" "a" "b" 1; "e" "n" 1;
"a" "f" "p" 1; "b" "d" "n" "z" 1; "c" "q" "t" 1; "d" "a" "b" "n" 1; "e" "n" 1;
"a" "f" "p" 1; "b" "d" "n" "z" 1; "c" "q" "t" 1; "d" "a" "b" "n" 1; "e" "n" 1;
"a" "f" "i" "p" 1; "b" "d" "n" "z" 1; "c" "q" "t" 1; "d" "a" "b" "n" 1; "e" "d" "n" 1;
"a" "f" "i" "p" 1; "b" "d" "n" "z" 1; "c" "q" "t" 1; "d" "a" "b" "n" 1; "e" "d" "n" 1;
"a" "f" "i" "p" 1; "b" "d" "n" "y" "z" 1; "c" "q" "s" "t" 1; "d" "a" "b" "i" "n" 1; "e" "d" "n" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "y" "z" 1; "c" "q" "s" "t" 1; "d" "a" "b" "h" "i" "n" 1; "e" "d" "n" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "y" "z" 1; "c" "q" "s" "t" 1; "d" "a" "b" "h" "i" "n" 1; "e" "d" "n" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "y" "z" 1; "c" "q" "s" "t" 1; "d" "a" "b" "h" "i" "n" 1; "e" "d" "n" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "y" "z" 1; "c" "q" "s" "t" 1; "d" "a" "b" "h" "i" "n" 1; "e" "d" "n" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "y" "z" 1; "c" "g" "q" "s" "t" "y" 1; "d" "a" "b" "h" "i" "n" "t" 1; "e" "d" "n" "r" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "y" "z" 1; "c" "g" "q" "s" "t" "y" "z" 1; "d" "a" 2; "e" "d" "i" "n" "r" "x" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "y" "z" 1; "c" "g" "q" "s" "t" "y" "z" 1; "d" "a" 2; "e" "d" "i" "n" "r" "x" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "y" "z" 1; "c" "g" "q" "s" "t" "y" "z" 1; "d" "a" 2; "e" "d" "i" "n" "r" "x" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "u" "y" "z" 1; "c" "g" "q" "s" "t" "y" "z" 1; "d" "a" 2; "e" "b" "d" "i" "n" "r" "x" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "u" "y" "z" 1; "c" "g" "q" "s" "t" "y" "z" 1; "d" "a" 2; "e" "b" "d" "i" "n" "r" "v" "x" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "u" "y" "z" 1; "c" "g" "q" "s" "t" "y" "z" 1; "d" "a" 2; "e" "b" "d" "i" "n" "r" "v" "x" 1;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "f" "i" "p" 1; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "r" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "r" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "r" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "r" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "r" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "r" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "r" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" "f" "n" "r" "u" "y" "z" 1; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" 2; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" 2; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" 2; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" 2; "c" "q" 2; "d" "a" 2; "e" "v" 2;
"a" "p" 2; "b" "d" 2; "c" "q" 2; "d" "a" "w" 2; "e" "v" 2;
"a" "p" 2; "b" "d" 2; "c" "q" 2; "d" "a" "w" 2; "e" "v" 2;
"a" "p" 2; "b" "d" 2; "c" "q" 2; "d" "a" "w" 2; "e" "e" "v" 2;
"a" "p" 2; "b" "d" 2; "c" "q" 2; "d" "a" "w" 2; "e" "e" "v" 2;
"a" "p" "s" 2; "b" "d" "f" 2; "c" "q" 2; "d" "a" "w" 2; "e" "e" "v" 2;
"a" "p" "s" 2; "b" "d" "f" 2; "c" "q" 2; "d" "a" "l" "w" 2; "e" "e" "v" 2;
