none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "l" 1;
"c" "l" 1;
"b" "q" "r" 1; "c" "l" 1;
"b" "q" "r" 1; "c" "l" 1;
"b" "q" "r" 1; "c" "l" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "g" "r" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"b" "m" "q" "r" 1; "c" "l" 1; "d" "b" "g" "r" 1; "e" "j" "x" 1;
"a" "r" 1; "b" "m" "q" "r" 1; "c" "f" "l" 1; "d" "b" "g" "q" "r" 1; "e" "a" "j" "x" 1;
"a" "d" "h" "r" 1; "b" "m" "q" "r" 1; "c" "f" "l" 1; "d" "b" "g" "q" "r" 1; "e" "a" "j" "x" 1;
"a" "d" "h" "r" 1; "b" "m" "q" "r" 1; "c" "f" "l" "r" 1; "d" "b" "g" "q" "r" 1; "e" "a" "i" "j" "x" 1;
"a" "d" "h" "r" 1; "b" "m" "q" "r" 1; "c" "f" "l" "r" 1; "d" "b" "g" "q" "r" 1; "e" "a" "i" "j" "x" 1;
"a" "d" "h" "r" 1; "b" "m" "q" "r" 1; "c" "f" "l" "r" 1; "d" "b" "g" "q" "r" 1; "e" "a" "i" "j" "x" 1;
"a" "d" "h" "r" 1; "b" "m" "q" "r" 1; "c" "f" "l" "r" 1; "d" "b" "g" "q" "r" 1; "e" "a" "i" "j" "x" 1;
"a" "d" "h" "r" 1; "b" "m" "q" "r" 1; "c" "f" "i" "l" "r" 1; "d" "b" "g" "q" "r" 1; "e" "a" "i" "j" "q" "x" 1;
"a" "d" "f" "h" "r" 1; "b" "m" "q" "r" 1; "c" "f" "i" "l" "r" 1; "d" "b" "g" "q" "r" 1; "e" "a" "i" "j" "q" "x" 1;
"a" "d" "f" "h" "r" 1; "b" "f" "m" "q" "r" 1; "c" "f" "i" "l" "r" 1; "d" "b" "g" "q" "r" 1; "e" "a" "i" "j" "q" "x" 1;
"a" "d" "f" "h" "r" 1; "b" "f" "m" "q" "r" 1; "c" "f" "i" "l" "r" 1; "d" "b" "g" "l" "q" "r" 1; "e" "a" "i" "j" "q" "x" 1;
"a" "d" "f" "h" "r" 1; "b" "f" "m" "q" "r" 1; "c" "f" "i" "l" "r" 1; "d" "b" "g" "l" "q" "r" 1; "e" "a" "i" "j" "q" "x" 1;
"a" "d" "f" "h" "r" 1; "b" "f" "m" "q" "r" 1; "c" "f" "i" "l" "r" 1; "d" "b" "g" "l" "q" "r" 1; "e" "a" "i" "j" "q" "x" 1;
