none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "e" 1;
"a" "e" 1;
"a" "e" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "d" "x" 1; "e" "a" 1;
"a" "e" "h" 1; "d" "x" 1; "e" "a" 1;
"a" "e" "h" 1; "c" "p" 1; "d" "x" 1; "e" "a" 1;
"a" "e" "h" 1; "c" "p" 1; "d" "x" 2; "e" "a" 1;
"a" "e" "h" 1; "c" "p" 1; "d" "x" 2; "e" "a" 1;
"a" "e" 2; "c" "f" "p" 1; "d" "x" 2; "e" "a" 1;
"a" "e" 2; "c" "f" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 2; "c" "f" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" 1; "c" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" 1; "c" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" 1; "c" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" 1; "c" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" 1; "c" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" "h" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" "h" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "i" 1;
"a" "e" 3; "b" "f" "h" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "i" 1;
"a" "e" 3; "b" "f" "h" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "i" 1;
"a" "e" 3; "b" "f" "h" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "i" 1;
