none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "p" 1;
"e" "p" 1;
"c" "x" 1; "e" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "v" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "v" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "v" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "j" "v" "x" 1; "d" "s" 1; "e" "g" "h" "k" "p" 1;
"a" "g" "i" 1; "c" "c" "j" "v" "x" 1; "d" "s" 1; "e" "g" "h" "k" "p" 1;
"a" "g" "i" "p" 1; "b" "k" 1; "c" "c" "j" "v" "x" 1; "d" "s" 1; "e" "g" "h" "k" "p" 1;
"a" "g" "i" "p" 1; "b" "k" 1; "c" "c" "j" "v" "x" 1; "d" "s" 1; "e" "g" "h" "k" "p" 1;
"a" "g" "i" "p" 1; "b" "k" 1; "c" "c" 2; "d" "s" 1; "e" "g" "h" "k" "p" 1;
"a" "g" "i" "j" "p" 1; "b" "k" 1; "c" "c" 2; "d" "s" 1; "e" "g" 2;
"a" "g" "i" "j" "p" 1; "b" "k" 1; "c" "c" 2; "d" "s" 1; "e" "g" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 1; "c" "c" 2; "d" "s" 1; "e" "g" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 1; "c" "c" 2; "d" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 1; "c" "c" 2; "d" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 1; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 1; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" "v" 1; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" "v" 1; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 2; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 2; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
