none
none
none
none
none
none
none
none
none
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1;
"b" "y" 1; "c" "m" "t" 1;
"b" "y" 1; "c" "m" "t" 1;
"b" "y" 1; "c" "m" "t" 1;
"b" "y" 1; "c" "m" "t" 1;
"b" "y" 1; "c" "m" "t" 1;
"b" "y" 1; "c" "m" "t" 1;
"b" "y" 1; "c" "m" "t" 1; "d" "n" 1;
"a" "n" 1; "b" "y" 1; "c" "m" "t" 1; "d" "n" 1;
"a" "n" 1; "b" "y" 1; "c" "m" "t" 1; "d" "n" 1;
"a" "n" 1; "b" "y" 1; "c" "m" "t" 1; "d" "n" 1;
"a" "n" 1; "b" "y" 1; "c" "m" "t" 1; "d" "n" 1;
"a" "n" 1; "b" "y" 1; "c" "m" "t" 1; "d" "n" 1;
"a" "n" 1; "b" "y" 1; "c" "m" "t" 1; "d" "n" 1;
"a" "n" 1; "b" "y" 1; "c" "m" "t" 1; "d" "c" "n" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "n" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "n" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "n" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "n" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "e" "n" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "e" "n" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "e" "n" "s" 1; "e" "q" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "e" "n" "s" 1; "e" "q" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "e" "n" "s" 1; "e" "q" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "e" "n" "s" 1; "e" "a" "q" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "e" "n" "s" 1; "e" "a" "q" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "m" "s" "t" 1; "d" "c" "e" "n" "s" 1; "e" "a" "q" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "a" "m" "s" "t" 1; "d" "c" "e" "n" "s" 1; "e" "a" "q" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "a" "m" "s" "t" 1; "d" "c" "e" "m" "n" "s" 1; "e" "a" "q" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "a" "m" "s" "t" 1; "d" "c" "e" "m" "n" "s" 1; "e" "a" "q" 1;
"a" "n" "s" 1; "b" "y" 1; "c" "a" "m" "s" "t" 1; "d" "c" "e" "m" "n" "s" 1; "e" "a" "q" 1;
"a" "f" "m" "n" "s" 1; "b" "y" 1; "c" "t" 2; "d" "c" "e" "f" "m" "n" "s" 1; "e" "a" "q" 1;
"a" "f" "m" "n" "s" 1; "b" "y" 1; "c" "t" 2; "d" "c" "e" "f" "m" "n" "s" 1; "e" "a" "q" 1;
"a" "f" "m" "n" "s" 1; "b" "o" "y" 1; "c" "t" 2; "d" "c" "e" "f" "m" "n" "s" 1; "e" "a" "q" 1;
"a" "f" "m" "n" "s" 1; "b" "o" "y" 1; "c" "t" 2; "d" "c" "e" "f" "m" "n" "s" 1; "e" "a" "q" 1;
"a" "f" "m" "n" "s" 1; "b" "m" "o" "y" 1; "c" "t" 2; "d" "c" "e" "f" "m" "n" "s" 1; "e" "a" "q" 1;
"a" "f" "m" "n" "s" 1; "b" "m" "o" "y" 1; "c" "t" 2; "d" "c" "e" "f" "m" "n" "s" 1; "e" "a" "q" 1;
"a" "f" "m" "n" "s" 1; "b" "m" "o" "y" 1; "c" "t" 2; "d" "c" "e" "f" "m" "n" "s" 1; "e" "a" "q" 1;
