none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "w" 1;
"b" "p" 1; "e" "u" "w" 1;
"b" "p" 1; "e" "u" "w" 1;
"b" "p" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" "w" 1;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "p" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "g" "p" 1; "c" "k" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "g" "p" 1; "c" "k" 1; "d" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "g" "k" 1; "d" "c" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "k" 2; "d" "c" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "k" 2; "d" "c" "o" "s" 1; "e" "u" 2;
"b" "g" "p" "z" 1; "c" "k" 2; "d" "c" "o" "s" 1; "e" "u" 2;
"a" "g" 1; "b" "g" "o" "p" "z" 1; "c" "k" 2; "d" "c" "o" "s" 1; "e" "u" 2;
"a" "g" 1; "b" "g" "o" "p" "z" 1; "c" "k" 2; "d" "c" "g" "o" "s" 1; "e" "u" 2;
"a" "g" 1; "b" "z" 2; "c" "k" 2; "d" "c" "f" "g" "o" "s" 1; "e" "s" "u" 2;
"a" "g" 1; "b" "z" 2; "c" "k" 2; "d" "c" "f" "g" "o" "s" 1; "e" "s" "u" 2;
"a" "g" 1; "b" "z" 2; "c" "k" 2; "d" "c" "f" "g" "o" "s" 1; "e" "s" "u" 2;
"a" "g" 1; "b" "z" 2; "c" "k" 2; "d" "c" "f" "g" "o" "s" 1; "e" "s" "u" 2;
"a" "g" 1; "b" "z" 2; "c" "k" 2; "d" "c" "f" "g" "o" "s" 1; "e" "s" "u" 2;
"a" "g" 1; "b" "z" 2; "c" "k" 2; "d" "c" "f" "g" "o" "s" 1; "e" "s" "u" 2;
"a" "g" "i" 1; "b" "z" 2; "c" "k" 2; "d" "c" "f" "g" "o" "s" 1; "e" "s" "u" 2;
"a" "g" "i" 1; "b" "z" 2; "c" "k" 2; "d" "c" "f" "g" "o" "s" 1; "e" "s" "u" 2;
"a" "g" "i" 1; "b" "z" 2; "c" "k" 2; "d" "c" "f" "g" "o" "s" 1; "e" "s" "u" 2;
"a" "g" "i" "j" 1; "b" "z" 2; "c" "k" 2; "d" "c" 2; "e" "s" "u" 2;
"a" "g" "i" "j" 1; "b" "z" 2; "c" "k" 2; "d" "c" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" 1; "b" "z" 2; "c" "k" 2; "d" "c" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" 1; "b" "z" 2; "c" "k" 2; "d" "c" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" 1; "b" "z" 2; "c" "k" "y" 2; "d" "c" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" 1; "b" "z" 2; "c" "k" "y" 2; "d" "c" "g" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 2; "c" "k" "y" 2; "d" "c" "g" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 2; "c" "k" "y" 2; "d" "c" "g" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 2; "c" "k" "y" 2; "d" "c" "g" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 2; "c" "k" "o" "y" 2; "d" "c" "g" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 2; "c" "k" "o" "y" 2; "d" "c" "g" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 2; "c" "k" "o" "y" 2; "d" "c" "g" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "k" "o" "y" 2; "d" "c" "g" "i" 2; "e" "s" "u" 2;
"a" "a" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "s" "u" 2;
"a" "a" "g" "i" "j" "u" "w" 1; "b" "z" 3; "c" "o" 3; "d" "c" "g" "i" 2; "e" "l" "s" "u" 2;
