none
none
none
none
none
none
none
none
none
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "c" "i" 1;
"a" "p" "w" 1; "b" "t" 1; "c" "i" 1;
"a" "p" "w" 1; "b" "t" 1; "c" "i" 1; "e" "d" 1;
"a" "p" "w" 1; "b" "t" 1; "c" "i" 1; "d" "f" 1; "e" "d" 1;
"a" "k" "p" "w" 1; "b" "t" 1; "c" "i" 1; "d" "f" 1; "e" "d" 1;
"a" "k" "p" "w" 1; "b" "t" 1; "c" "i" 1; "d" "f" 1; "e" "d" 1;
"a" "k" "p" "w" 1; "b" "t" 1; "c" "i" 1; "d" "f" 1; "e" "d" 1;
"a" "k" "p" "w" 1; "b" "t" 1; "c" "i" 1; "d" "f" 1; "e" "d" 2;
"a" "k" "p" "w" 1; "b" "t" 1; "c" "i" 1; "d" "f" 1; "e" "d" 2;
"a" "k" "p" "w" 1; "b" "t" "x" 1; "c" "d" "i" "u" 1; "d" "f" "s" 1; "e" "d" 2;
"a" "k" "p" "w" 1; "b" "t" "x" 1; "c" "d" "i" "u" 1; "d" "f" "s" 1; "e" "d" 2;
"a" "k" "p" "w" "x" 1; "b" "t" "x" 1; "c" "d" "i" "u" 1; "d" "f" "s" 1; "e" "d" 2;
"a" "k" "p" "w" "x" 1; "b" "t" "x" 1; "c" "d" "i" "u" 1; "d" "f" "s" 1; "e" "d" 2;
"a" "k" "p" "w" "x" 1; "b" "g" "t" "x" 1; "c" "d" "i" "u" 1; "d" "f" "s" 1; "e" "d" 2;
"a" "k" "p" "w" "x" 1; "b" "g" "t" "x" 1; "c" "d" "i" "u" 1; "d" "f" "s" 1; "e" "d" 2;
"a" "k" "p" "w" "x" 1; "b" "g" "t" "x" 1; "c" "d" "i" "u" 1; "d" "f" "s" 1; "e" "d" 2;
"a" "k" "p" "w" "x" 1; "b" "g" "t" "x" 1; "c" "d" "i" "u" 1; "d" "f" "s" 1; "e" "d" 2;
"a" "k" "p" "s" "w" "x" 1; "b" "g" "t" "x" 1; "c" "d" "i" "u" 1; "d" "f" "s" 1; "e" "d" "o" 2;
