none
none
none
none
none
none
none
none
none
none
none
none
"a" "f" 1;
"a" "f" 1;
"a" "f" 1;
"a" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "e" "f" 1;
"a" "f" 1; "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 1; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "b" "k" "m" 1; "e" "f" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "d" "m" 2; "e" "f" "t" "v" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "z" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" "f" "k" "m" "x" 1; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" 2; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" 2; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" 2; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" 2; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" 2; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" 2; "c" "m" 1; "d" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" 2; "c" "m" 1; "d" "b" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 2; "b" "b" 2; "c" "m" 1; "d" "b" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 3; "b" "b" 2; "c" "m" 1; "d" "b" "m" 2; "e" "f" "t" "v" "y" "z" 1;
"a" "f" 3; "b" "b" 2; "c" "m" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" "m" 2; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" 3; "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" "m" 3; "e" "e" "y" 2;
"a" "f" 3; "b" "b" 2; "c" "i" "m" "t" 1; "d" "b" "m" 3; "e" "e" "y" 2;
