none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"a" "x" 1; "c" "e" "m" 1;
"a" "x" 1; "c" "e" "m" 1;
"a" "x" 1; "c" "e" "m" 1;
"a" "x" 1; "b" "s" 1; "c" "e" "m" 1;
"a" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "s" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "s" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "s" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1; "e" "v" 1;
"a" "j" "s" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1; "e" "v" 1;
"a" "j" "s" "u" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "v" "w" 1; "e" "v" 1;
"a" "j" "l" "m" "s" "u" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "i" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "i" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "i" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "i" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "i" "v" 1;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "g" "j" "m" "v" "w" 1; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "w" 2; "e" "v" 2;
"a" "u" 2; "b" "s" 1; "c" "e" 2; "d" "w" 2; "e" "v" 2;
"a" "l" "m" "u" 2; "b" "s" 1; "c" "e" 2; "d" "w" 2; "e" "v" 2;
"a" "l" "m" "u" 2; "b" "s" 1; "c" "e" 2; "d" "w" 2; "e" "v" 2;
"a" "l" "m" "u" 2; "b" "s" 1; "c" "e" 2; "d" "v" "w" 2; "e" "v" 2;
"a" "l" "m" "u" 2; "b" "s" 1; "c" "e" 2; "d" "v" "w" 2; "e" "v" 2;
"a" "l" "m" "u" 2; "b" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" "m" "u" 2; "b" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 3; "b" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 3; "b" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 3; "b" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 3; "b" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 3; "b" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 3; "b" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 3; "b" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" 1; "c" "e" 2; "d" "m" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" "y" 1; "c" "e" 2; "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "h" "i" "s" "y" 1; "c" "e" 2; "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "g" "h" "i" "s" "y" 1; "c" "e" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "g" "h" "i" "s" "y" 1; "c" "e" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "g" "h" "i" "s" "y" 1; "c" "e" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "g" "h" "i" "s" "y" 1; "c" "e" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "g" "h" "i" "s" "y" 1; "c" "e" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 3; "d" "d" "m" "r" "v" "w" 2; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 3; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 3; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 3; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 3; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
