none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1; "e" "d" 1;
"b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 1; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "g" "z" 1; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "c" "i" 1; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 2; "e" "d" 1;
"a" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 2; "e" "d" 1;
"a" "c" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 2; "e" "d" "o" 1;
"a" "c" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 2; "e" "d" "o" 1;
"a" "c" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "d" "o" 1;
"a" "c" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "d" "o" 1;
"a" "c" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "y" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "y" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "y" "z" 1; "b" "z" 2; "c" "i" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "r" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "y" "z" 1; "b" "r" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "x" "y" "z" 1; "b" "r" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "x" "y" "z" 1; "b" "r" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "x" "y" "z" 1; "b" "c" "r" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "x" "y" "z" 1; "b" "c" "r" "z" 2; "c" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "x" "y" "z" 1; "b" "c" "r" "z" 2; "c" "b" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "x" "y" "z" 1; "b" "c" "r" "z" 2; "c" "b" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "x" "y" "z" 1; "b" "c" "r" "z" 2; "c" "b" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "x" "y" "z" 1; "b" "c" "r" "z" 2; "c" "b" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
"a" "c" "o" "s" "x" "y" "z" 1; "b" "c" "r" "z" 2; "c" "b" "i" "l" "q" "u" 1; "d" "h" 3; "e" "o" 2;
