none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1; "c" "p" 1; "e" "h" 1;
"a" "c" 1; "b" "p" 1; "c" "p" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" "i" 1;
"a" "c" "k" 1; "b" "p" 1; "c" "p" 1; "d" "a" 1; "e" "h" "i" 1;
"a" "c" "k" 1; "b" "p" "v" 1; "c" "p" 1; "d" "a" 1; "e" "h" "i" 1;
"a" "c" "k" 1; "b" "p" "v" 1; "c" "p" 1; "d" "a" 1; "e" "h" "i" 1;
"a" "c" "k" 1; "b" "p" "v" 1; "c" "p" 1; "d" "a" 1; "e" "h" "i" 1;
"a" "c" "k" 1; "b" "p" "v" 1; "c" "p" 1; "d" "a" 1; "e" "h" "i" 1;
"a" "c" "k" 1; "b" "p" "v" 1; "c" "p" "y" 1; "d" "a" 1; "e" "h" "i" 1;
"a" "c" "k" 1; "b" "p" "v" 1; "c" "p" "y" 1; "d" "a" 1; "e" "h" "i" 1;
"a" "c" "k" 1; "b" "p" "v" 1; "c" "p" "y" 1; "d" "a" 1; "e" "h" "i" 1;
"a" "c" "k" 1; "b" "p" "v" 1; "c" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" 1;
"a" "c" "i" "k" 1; "b" "p" "v" 1; "c" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" 1;
"a" "c" "i" "k" 1; "b" "p" "v" 1; "c" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" 1;
"a" "c" "i" "k" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" "n" 1;
