none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1;
"b" "m" 1; "d" "r" "y" 1; "e" "m" 1;
"b" "m" 1; "d" "r" "y" 1; "e" "m" 1;
"b" "m" "s" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" "u" "y" 1; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"b" "m" "s" "u" 1; "c" "p" 1; "d" "r" 2; "e" "m" "u" 1;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" "u" 1;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" "u" 1;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" "u" 1;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" "u" 1;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" "u" 1;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" "u" 1;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" "u" 1;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "p" 1; "b" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "h" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "g" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "g" "p" 2; "d" "r" 2; "e" "m" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "g" "p" 2; "d" "r" "u" 2; "e" "m" "t" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "g" "p" 2; "d" "r" "u" 2; "e" "m" "t" 2;
"a" "o" "p" 1; "b" "d" "h" "m" "s" "u" 1; "c" "g" "p" 2; "d" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "p" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "p" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "p" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "p" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "p" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "p" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "p" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "p" "r" "u" 2; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" "y" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" "y" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" "y" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" "y" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" "y" 1; "b" "h" "s" 2; "c" "g" "p" 2; "d" "u" 3; "e" "m" "t" 2;
"a" "d" "o" "p" "t" "y" 1; "b" "h" "s" "y" 2; "c" "g" "p" 2; "d" "u" 4; "e" "m" "t" 2;
"a" "d" "e" "o" "p" "t" "y" 1; "b" "h" "s" "x" "y" 2; "c" "g" "p" 2; "d" "u" 4; "e" "m" "t" 2;
"a" "d" "e" "o" "p" "t" "y" 1; "b" "h" "s" "x" "y" 2; "c" "g" "p" 2; "d" "u" 4; "e" "m" "t" 2;
"a" "d" "e" "o" "p" "t" "y" 1; "b" "h" "s" "x" "y" 2; "c" "g" "p" 2; "d" "u" 4; "e" "m" "t" 2;
"a" "d" "e" "i" "n" "o" "p" "t" "y" 1; "b" "h" "s" "x" "y" 2; "c" "g" "p" 2; "d" "u" 4; "e" "m" "t" 2;
"a" "d" "e" "g" "i" "n" "o" "p" "t" "y" 1; "b" "h" "s" "x" "y" 2; "c" "g" "p" 2; "d" "u" 4; "e" "m" "t" 2;
"a" "d" "e" "g" "i" "n" "o" "p" "t" "y" 1; "b" "h" "s" "x" "y" 2; "c" "g" "p" 2; "d" "u" 4; "e" "m" "t" 2;
"a" "d" "e" "g" "i" "n" "o" "p" "t" "y" 1; "b" "h" "s" "x" "y" 2; "c" "g" "j" "p" 2; "d" "u" 4; "e" "m" "t" 2;
"a" "d" "e" "g" "i" "n" "o" "p" "t" "y" 1; "b" "h" "s" "x" "y" 2; "c" "g" "j" "p" 2; "d" "u" 4; "e" "m" "t" 2;
"a" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "p" 2; "d" "u" 4; "e" "m" "n" "t" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" "w" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" "w" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" "w" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" "w" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" "w" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" "w" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" "w" 2;
"a" "e" "n" 2; "b" "h" "s" "x" "y" 2; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" "w" 2;
"a" "e" "n" 2; "b" "s" 3; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "b" "m" "n" "t" "w" 2;
"a" "e" "n" 2; "b" "s" 3; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "m" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "m" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "m" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "m" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "g" "j" "m" "p" 2; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 3; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "e" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "m" "w" 3;
"a" "d" "e" "i" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "w" 3;
"a" "d" "e" "i" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "w" 3;
"a" "d" "e" "i" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "w" 3;
"a" "d" "e" "i" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "d" "e" "i" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "d" "e" "i" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "d" "e" "i" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "d" "e" "i" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "d" "e" "i" "n" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "d" "e" "i" "n" "y" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "d" "e" "i" "n" "y" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "d" "e" "i" "n" "y" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "d" "e" "i" "n" "y" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "d" "e" "i" "n" "y" 2; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "b" "m" "t" "w" 3;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 4; "c" "p" 3; "d" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 4; "c" "j" "p" 3; "d" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 4; "c" "j" "p" 3; "d" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 4; "c" "j" "p" 3; "d" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 4; "c" "j" "p" 3; "d" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
"a" "e" "i" 3; "b" "s" 3; "c" "j" "p" 3; "d" "r" "u" 4; "e" "w" 4;
