none
none
none
none
none
none
none
none
none
none
none
none
"e" "n" 1;
"b" "l" 1; "e" "n" 1;
"b" "l" 1; "e" "n" 1;
"b" "l" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" "z" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"a" "y" 1; "b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"a" "y" 1; "b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"a" "y" 1; "b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"a" "y" 1; "b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 1; "d" "h" "p" "q" "w" 1; "e" "n" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "p" "q" "w" 1; "e" "n" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "p" "q" "w" 1; "e" "n" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "p" "q" "w" 1; "e" "n" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "p" "q" "w" 1; "e" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "w" "x" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
