none
none
none
none
none
none
none
none
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" "m" 1;
"d" "a" "m" 1;
"d" "a" "m" 1;
"d" "a" "m" 1;
"d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" 1;
"a" "o" 1; "d" "a" "m" "v" 1;
"a" "o" 1; "d" "a" "m" "v" 1;
"a" "m" "o" 1; "d" "a" "m" "v" 1;
"a" "m" "o" 1; "d" "a" "m" "v" 1;
"a" "m" "o" 1; "d" "a" "m" "v" 1;
"a" "m" "o" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" "t" 1; "b" "h" 1; "d" "a" "m" "v" 1; "e" "p" 1;
"a" "e" "m" "o" "t" 1; "b" "g" "h" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "e" "m" "o" "t" 1; "b" "g" "h" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "e" "m" "o" "t" 1; "b" "g" "h" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "e" "m" "o" "t" 1; "b" "g" "h" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "e" "m" "o" "t" "v" 1; "b" "g" "h" "k" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "t" 2; "b" "g" "h" "k" 1; "d" "a" "m" "v" 1; "e" "j" "p" 1;
"a" "t" 2; "b" "g" "h" "k" 1; "d" "a" "h" "m" "v" 1; "e" "j" "p" 1;
"a" "t" 2; "b" "g" "h" "k" 1; "d" "a" "h" "m" "v" 1; "e" "j" "p" 1;
"a" "t" 2; "b" "g" "h" "k" 1; "d" "a" "h" "m" "v" 1; "e" "j" "p" 1;
"a" "t" 2; "b" "g" "h" "k" 1; "c" "a" 1; "d" "a" "h" "m" "u" "v" 1; "e" "j" "p" 1;
"a" "t" 2; "b" "g" "h" "k" 1; "c" "a" 1; "d" "a" "h" "m" "u" "v" 1; "e" "j" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "j" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "j" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "n" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "j" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "n" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "j" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "n" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "j" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "n" "p" 1;
"a" "o" "t" 2; "b" "g" "h" "j" "k" "u" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "n" "p" 1;
"a" "t" 3; "b" "g" "h" "j" "k" "u" "x" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "l" "n" "p" "w" 1;
"a" "t" 3; "b" "g" "h" "j" "k" "u" "x" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "l" "n" "p" "w" 1;
"a" "t" 3; "b" "g" "h" "j" "k" "u" "x" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "l" "n" "p" "w" 1;
"a" "t" 3; "b" "g" "h" "j" "k" "u" "x" 1; "c" "a" 1; "d" "a" "g" "h" "m" "s" "u" "v" 1; "e" "j" "l" "n" "p" "w" 1;
