none
none
none
none
none
none
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1;
"a" "p" 1; "b" "c" 1; "d" "r" 1;
"a" "h" "p" 1; "b" "c" 1; "d" "r" 1;
"a" "h" "p" "s" 1; "b" "c" "p" 1; "c" "h" 2; "d" "n" "r" 1;
"a" "h" "p" "s" 1; "b" "c" "p" 1; "c" "h" 2; "d" "n" "r" 1;
"a" "h" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "n" "r" 1; "e" "o" 1;
"a" "h" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "n" "r" 1; "e" "o" 1;
"a" "h" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "n" "r" 1; "e" "o" 1;
"a" "h" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "n" "r" 1; "e" "o" 1;
"a" "h" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "l" "n" "r" 1; "e" "o" "x" 1;
"a" "h" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "l" "n" "r" 1; "e" "o" "x" 1;
"a" "h" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "l" "n" "r" 1; "e" "o" "x" 1;
"a" "h" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "l" "n" "r" 1; "e" "o" "x" 1;
"a" "d" "h" "i" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "l" "n" "r" "s" 1; "e" "o" "x" 1;
"a" "d" "h" "i" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "l" "n" "r" "s" 1; "e" "o" "x" 1;
"a" "d" "h" "i" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "h" "l" "n" "r" "s" 1; "e" "o" "x" 1;
"a" "d" "h" "i" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "h" "l" "n" "r" "s" 1; "e" "o" "x" 1;
"a" "d" "h" "i" "l" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "d" "h" "l" "n" "r" "s" 1; "e" "o" "q" "t" "x" 1;
"a" "d" "h" "i" "l" "p" "s" 1; "b" "a" "c" "p" 1; "c" "h" 2; "d" "a" "c" "d" "h" "l" "n" "r" "s" 1; "e" "o" "q" "t" "x" 1;
"a" "d" "h" "i" "l" "p" "s" 1; "b" "a" "c" "i" "p" 1; "c" "h" 2; "d" "a" "c" "d" "h" "k" "l" "n" "r" "s" 1; "e" "o" "q" "t" "x" 1;
"a" "d" "h" "i" "l" "p" "s" 1; "b" "a" "c" "i" "p" 1; "c" "h" 2; "d" "a" "c" "d" "h" "k" "l" "n" "r" "s" 1; "e" "o" "q" "t" "x" 1;
"a" "d" "h" "i" "l" "p" "s" 1; "b" "a" "c" "i" "p" 1; "c" "h" 2; "d" "a" "c" "d" "h" "k" "l" "n" "r" "s" 1; "e" "o" "q" "t" "x" 1;
"a" "d" "h" "i" "l" "p" "s" 1; "b" "a" "c" "i" "p" 1; "c" "h" 2; "d" "a" "c" "d" "h" "k" "l" "n" "r" "s" 1; "e" "o" "q" "t" "x" 1;
"a" "h" "s" 2; "b" "a" 2; "c" "h" 2; "d" "a" "c" "d" "h" "k" "l" "n" "r" "s" 1; "e" "o" "q" "t" "v" "x" 1;
"a" "h" "s" 2; "b" "a" 2; "c" "h" 2; "d" "a" "c" "d" "h" "k" "l" "n" "r" "s" 1; "e" "o" "q" "t" "v" "x" 1;
"a" "h" "s" 2; "b" "a" 2; "c" "h" 2; "d" "k" 2; "e" "o" "q" "t" "v" "x" 1;
"a" "h" "s" 2; "b" "a" 2; "c" "h" 2; "d" "k" 2; "e" "o" "q" "t" "v" "x" 1;
"a" "h" "s" 2; "b" "a" 2; "c" "h" 2; "d" "k" 2; "e" "a" "m" "o" "q" "t" "v" "x" 1;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "m" "o" "q" "t" "v" "x" 1;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "m" "n" "o" "q" "t" "v" "x" 1;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "m" "n" "o" "q" "t" "v" "x" 1;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "a" "n" "t" 2; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "d" "e" "h" "i" "k" "n" "p" "r" "v" 2; "e" "a" "o" 2;
"a" "d" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" "o" 2;
"a" "d" "h" "p" "s" 2; "b" "t" 3; "c" "h" 2; "d" "k" 3; "e" "a" 2;
