none
none
none
none
none
none
none
none
none
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"b" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" 1; "b" "e" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" "i" 1; "b" "e" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" "i" 1; "b" "e" "p" 1; "c" "p" 2; "e" "t" 1;
"a" "c" "i" 1; "b" "e" "p" 1; "c" "p" 2; "e" "f" "t" 1;
"a" "c" "i" "k" "r" "x" 1; "b" "e" "p" 1; "c" "p" 2; "d" "a" 1; "e" "f" "t" 1;
"a" "c" "i" "k" "r" "x" 1; "b" "e" "p" 1; "c" "p" 2; "d" "a" 1; "e" "f" "t" 1;
"a" "c" "i" "k" "r" "x" 1; "b" "e" "p" 1; "c" "p" 2; "d" "a" "b" 1; "e" "f" "t" 1;
"a" "c" "i" "j" "k" "r" "x" 1; "b" "e" "p" 1; "c" "p" 2; "d" "a" "b" 1; "e" "f" "t" 1;
"a" "c" "i" "j" "k" "r" "x" 1; "b" "e" "p" 1; "c" "p" 2; "d" "a" "b" "m" 1; "e" "f" "t" 1;
"a" "c" "i" "j" "k" "r" "x" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "m" 1; "e" "f" "t" 1;
"a" "c" "i" "j" "k" "r" "x" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "m" 1; "e" "f" "t" 1;
"a" "c" "i" "j" "k" "r" "x" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "i" "j" "k" "r" "x" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "i" "j" "k" "r" "x" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "i" "j" "k" "r" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "i" "j" "k" "r" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "i" "j" "k" "r" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "i" "j" "k" "r" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "f" "i" "t" 1;
"a" "c" "f" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" 1;
"a" "c" "f" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" 1;
"a" "c" "f" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" 1;
"a" "c" "f" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" 1;
"a" "c" "f" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" 1;
"a" "c" "f" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" 1;
"a" "c" "f" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" 1;
"a" "c" "f" "i" "j" "k" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
"a" "c" "f" "i" "j" "k" "p" "r" "w" "x" "y" 1; "b" "e" "i" "p" "t" 1; "c" "p" 2; "d" "a" "b" "c" "i" "m" "w" 1; "e" "a" "f" "i" "t" "z" 1;
