none
none
none
none
none
none
none
none
none
none
none
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 1; "e" "e" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" "o" 1; "c" "t" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" "i" "o" 1; "b" "h" 1; "c" "o" "t" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" "i" "o" 1; "b" "h" 1; "c" "o" "t" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" "i" "o" 1; "b" "h" 1; "c" "o" "t" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" "i" "o" 1; "b" "h" 1; "c" "o" "t" 1; "d" "o" 2; "e" "e" "p" 1;
"a" "e" "h" "i" "o" 1; "b" "h" 1; "c" "o" "t" 1; "d" "o" 2; "e" "e" "p" "x" 1;
"a" "e" "h" "i" "o" 1; "b" "h" 1; "c" "o" "t" 1; "d" "o" 2; "e" "e" "p" "x" 1;
"a" "e" "h" "i" "o" 1; "b" "h" 1; "c" "o" "t" 1; "d" "o" 2; "e" "e" "p" "x" 1;
"a" "e" "h" "i" "o" 1; "b" "h" 1; "c" "o" "t" 1; "d" "o" 2; "e" "e" "p" "x" 1;
"a" "e" "h" "i" "o" 1; "b" "h" "k" 1; "c" "o" "t" 1; "d" "o" 2; "e" "p" 2;
"a" "e" "h" "i" "o" 1; "b" "h" "k" 1; "c" "o" "t" 1; "d" "o" 2; "e" "p" 2;
"a" "e" "h" "i" "o" 1; "b" "h" "k" 1; "c" "i" "o" "t" 1; "d" "o" 2; "e" "p" 2;
"a" "e" "h" "i" "o" 1; "b" "h" "k" 1; "c" "i" "o" "t" 1; "d" "o" 2; "e" "p" 2;
"a" "e" "h" "i" "o" 1; "b" "h" "k" "l" 1; "c" "i" "o" "t" 1; "d" "o" 2; "e" "p" 2;
"a" "e" "h" "i" "o" 1; "b" "h" "k" "l" 1; "c" "i" "o" "t" 1; "d" "o" 2; "e" "p" 2;
"a" "e" "h" "i" "o" 1; "b" "h" "k" "l" 1; "c" "d" "f" "i" "o" "t" "x" 1; "d" "o" 2; "e" "p" 2;
"a" "e" "h" "i" "o" 1; "b" "h" "k" "l" 1; "c" "d" "f" "i" "o" "t" "x" 1; "d" "o" 2; "e" "p" 2;
"a" "e" "h" "i" "o" 1; "b" "h" "k" "l" 1; "c" "d" "f" "i" "o" "t" "x" 1; "d" "o" 2; "e" "p" 2;
"a" "e" "h" "i" "o" 1; "b" "h" "k" "l" 1; "c" "d" "f" "i" "o" "t" "x" 1; "d" "o" 2; "e" "p" 2;
"a" "e" "h" "i" "o" 1; "b" "h" "k" "l" 1; "c" "d" "f" "i" "o" "t" "x" 1; "d" "o" 2; "e" "p" 3;
"a" "e" "h" "i" "o" 1; "b" "h" "k" "l" 1; "c" "d" "f" "i" "o" "t" "x" 1; "d" "o" 2; "e" "p" 3;
"a" "e" "h" "i" "o" 1; "b" "h" "k" "l" 1; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" "h" "i" "o" 1; "b" "f" "h" "k" "l" "t" 1; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" "h" "i" "o" 1; "b" "f" "h" "k" "l" "t" 1; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" "h" "i" "o" 1; "b" "f" "h" "k" "l" "t" 1; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" "h" "i" "o" 1; "b" "f" "h" "k" "l" "t" 1; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" "h" "i" "o" 1; "b" "f" "h" "k" "l" "t" 1; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "b" "e" "h" "i" "o" 1; "b" "f" "h" "k" "l" "t" 1; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "b" "e" "h" "i" "o" 1; "b" "f" "h" "k" "l" "t" 1; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "b" "e" "h" "i" "o" 1; "b" "f" "h" "j" "k" "l" "t" 1; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "b" "e" "h" "i" "o" 1; "b" "f" "h" "j" "k" "l" "t" 1; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" 2; "d" "o" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 2; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
"a" "e" 2; "b" "h" 3; "c" "d" "t" 2; "d" "o" "w" 2; "e" "p" 3;
