none
none
none
none
none
none
none
none
none
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"e" "y" 1;
"b" "y" 1; "d" "h" 1; "e" "y" 1;
"b" "y" 1; "d" "h" 1; "e" "y" 1;
"b" "y" 1; "d" "h" 1; "e" "y" 1;
"b" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"b" "y" 1; "c" "p" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" 1; "b" "a" "n" "y" 1; "c" "p" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" 1; "b" "a" "n" "y" 1; "c" "p" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" 1; "b" "a" "n" "y" 1; "c" "p" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" 1; "b" "a" "n" "y" 1; "c" "p" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" 1; "b" "a" "n" "y" 1; "c" "p" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" "h" 1; "b" "a" "n" "y" 1; "c" "p" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" "h" 1; "b" "a" "n" "y" 1; "c" "p" "q" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" "h" 1; "b" "a" "n" "y" 1; "c" "p" "q" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" "h" 1; "b" "a" "n" "y" 1; "c" "p" "q" "t" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" "h" 1; "b" "a" "n" "y" 1; "c" "p" "q" "t" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" "h" 1; "b" "a" "n" "y" 1; "c" "p" "q" "t" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "a" "h" "i" 1; "b" "a" "n" "y" 1; "c" "p" "q" "t" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "i" 2; "b" "a" "n" "y" 1; "c" "p" "q" "t" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "i" 2; "b" "a" "n" "y" 1; "c" "p" "q" "t" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "i" 2; "b" "a" "n" "y" 1; "c" "p" "q" "t" "y" 1; "d" "h" "k" 1; "e" "y" 1;
"a" "i" 2; "b" "a" "n" "y" 1; "c" "p" 2; "d" "h" "k" "s" 1; "e" "y" 1;
"a" "i" 2; "b" "a" "n" "y" 1; "c" "p" 2; "d" "h" "k" "s" 1; "e" "y" 1;
"a" "i" 2; "b" "a" "n" "y" 1; "c" "p" 2; "d" "h" "k" "s" 1; "e" "y" 1;
