none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "j" 1;
"e" "j" 1;
"e" "j" 1;
"e" "j" 1;
"a" "b" 1; "e" "j" 1;
"a" "b" 1; "e" "j" 1;
"a" "b" 1; "d" "c" 1; "e" "j" 1;
"a" "b" 1; "d" "c" 1; "e" "j" 1;
"a" "b" 1; "c" "i" 1; "d" "c" "o" 1; "e" "j" 1;
"a" "b" 1; "c" "i" 1; "d" "c" "o" 1; "e" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "i" "j" "w" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "i" "j" "w" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "i" "j" "w" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "i" "j" "w" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "i" "j" "w" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "i" "j" "w" 1; "d" "p" 3; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" 1;
"a" "b" "h" 1; "b" "v" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" 1;
"a" "b" "h" 1; "b" "v" "y" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" 1;
"a" "b" "h" 1; "b" "v" "y" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" "q" 1;
"a" "b" "h" 1; "b" "v" "y" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" "q" 1;
"a" "b" "h" 1; "b" "m" "p" "v" "y" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" "q" 1;
"a" "b" "h" 1; "b" "m" "p" "v" "y" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" "q" 1;
"a" "b" "h" 1; "b" "m" "p" "v" "y" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" "q" 1;
"a" "b" "h" 1; "b" "m" "p" "v" "y" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "c" "d" "j" "q" 1;
"a" "b" "h" "i" 1; "b" "m" "p" "v" "y" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "a" "c" "j" "q" 1;
"a" "b" "h" "i" 1; "b" "m" "p" "v" "y" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "a" "c" "j" "q" 1;
