none
none
none
none
none
none
none
none
none
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" "r" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" "r" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" "r" 1; "e" "l" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" "r" 1; "e" "l" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" 1; "e" "l" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" 1; "e" "l" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" 1; "e" "l" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 2; "d" "o" "r" "t" "w" 1; "e" "l" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 2; "d" "o" "r" "t" "w" 1; "e" "l" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 2; "d" "o" "r" "t" "w" 1; "e" "l" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 2; "d" "o" "r" "t" "w" 1; "e" "l" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 2; "d" "o" "r" "t" "w" 1; "e" "l" "m" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 3; "c" "v" 1; "d" "o" "r" "t" "v" "w" 1; "e" "l" "m" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 3; "c" "v" 1; "d" "o" "r" "t" "v" "w" 1; "e" "l" "m" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 3; "c" "v" 1; "d" "o" "r" "t" "u" "v" "w" 1; "e" "l" "m" "q" "r" "s" 1;
"a" "g" 2; "b" "x" 3; "c" "v" 1; "d" "o" "r" "t" "u" "v" "w" 1; "e" "l" "m" "q" "r" "s" 1;
"a" "g" 2; "b" "x" 3; "c" "v" 1; "d" "o" "r" "t" "u" "v" "w" 1; "e" "l" "m" "q" "r" "s" 1;
"a" "g" 2; "b" "x" 3; "c" "b" "i" "v" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 2; "b" "x" 3; "c" "b" "i" "v" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 2; "b" "x" 3; "c" "b" "i" "v" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 2; "b" "x" 3; "c" "b" "i" "v" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 2; "b" "x" 3; "c" "b" "i" "v" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 2; "b" "x" 3; "c" "b" "i" "v" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 2; "b" "x" 3; "c" "b" "i" "v" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 2; "b" "x" 3; "c" "b" "i" "v" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 2; "b" "x" 3; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 3; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 3; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 3; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 3; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 3; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 3; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 4; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 4; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 4; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 4; "c" "b" "i" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 4; "c" "b" "i" "l" "v" "x" 1; "d" "r" 2; "e" "s" 2;
"a" "g" 3; "b" "x" 4; "c" "b" "i" "l" "v" "x" 1; "d" "r" 2; "e" "s" 2;
