none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" 1; "e" "r" "u" 1;
"a" "x" 1; "d" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "x" 1; "c" "g" "x" 1; "d" "b" "p" "y" 1; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "r" "x" 1; "c" "g" "x" 1; "d" "p" 2; "e" "r" "u" 1;
"a" "r" "x" 1; "b" "y" 1; "c" "g" "t" "x" 1; "d" "p" 2; "e" "k" "r" "u" 1;
"a" "r" "x" 1; "b" "y" 1; "c" "g" "t" "x" 1; "d" "p" 2; "e" "k" "r" "u" 1;
"a" "r" "x" 1; "b" "y" 1; "c" "g" "t" "x" 1; "d" "p" 2; "e" "k" "r" "u" 1;
"a" "r" "x" 1; "b" "t" "y" 1; "c" "g" "t" "x" 1; "d" "p" 2; "e" "k" "r" "u" 1;
"a" "r" "x" "y" 1; "b" "t" "y" 1; "c" "g" "t" "x" 1; "d" "p" 2; "e" "k" "r" "u" 1;
"a" "x" 2; "b" "m" "q" "t" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "x" 2; "b" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "x" 2; "b" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "x" 2; "b" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "x" 2; "b" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "x" 2; "b" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "x" 2; "b" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "x" 2; "b" "d" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "x" 2; "b" "d" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "d" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "d" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "d" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "d" "m" "q" "t" "w" "y" 1; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "k" "n" "r" "s" "u" 1;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" 2; "b" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
"a" "f" "x" "y" 2; "b" "d" "t" 2; "c" "g" "t" "u" "x" 1; "d" "d" "p" 2; "e" "u" 2;
