none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"a" "u" 1; "d" "b" 1;
"a" "u" 1; "d" "b" "c" 1;
"a" "u" 1; "d" "b" "c" 1; "e" "i" 1;
"a" "u" 1; "d" "b" "c" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "c" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "c" "u" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "i" 1;
"a" "c" "u" 1; "b" "d" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "u" 1; "b" "d" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "u" 1; "b" "d" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "u" 1; "b" "d" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "u" 1; "b" "d" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "u" 1; "b" "d" 1; "c" "c" 1; "d" "b" "c" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "u" 1; "b" "d" 1; "c" "c" "x" 1; "d" "b" "c" "l" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "e" "u" 1; "b" "d" 1; "c" "c" "x" 1; "d" "b" "c" "l" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "e" "m" "u" 1; "b" "d" 1; "c" "c" "x" 1; "d" "b" "c" "l" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "e" "m" "u" 1; "b" "d" 1; "c" "c" "x" 1; "d" "b" "c" "l" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "e" "m" "u" 1; "b" "d" 1; "c" "c" "t" "x" 1; "d" "b" "c" "l" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "e" "m" "u" 1; "b" "d" 1; "c" "c" "t" "x" 1; "d" "b" "c" "l" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "e" "m" "u" 1; "b" "d" "n" 1; "c" "c" "t" "x" 1; "d" "b" "c" "l" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "e" "m" "u" 1; "b" "d" "n" 1; "c" "c" "t" "x" 1; "d" "b" "c" "l" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "e" "m" "u" 1; "b" "d" "n" 1; "c" "c" "t" "x" 1; "d" "b" "c" "l" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "e" "m" "u" 1; "b" "d" "n" 1; "c" "c" "t" "x" 1; "d" "b" "c" "l" "r" 1; "e" "f" "i" "x" 1;
"a" "c" "d" "e" "m" "u" 1; "b" "d" "n" 1; "c" "c" "r" "t" "x" 1; "d" "a" "b" "c" "l" "r" 1; "e" "f" "h" "i" "x" 1;
"a" "c" "d" "e" "m" "u" 1; "b" "d" "n" 1; "c" "c" "r" "t" "x" 1; "d" "a" "b" "c" "i" "l" "r" 1; "e" "x" 2;
"a" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" 1; "c" "c" "r" "t" "x" 1; "d" "a" "b" "c" "i" "l" "r" 1; "e" "x" 2;
"a" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" 1; "c" "c" "r" "t" "x" 1; "d" "a" "b" "c" "i" "l" "q" "r" 1; "e" "x" 2;
"a" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" 1; "c" "c" "r" "t" "x" 1; "d" "a" "b" "c" "i" "l" "q" "r" 1; "e" "x" 2;
"a" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" 1; "c" "c" "r" "t" "x" 1; "d" "a" "b" "c" "i" "l" "q" "r" "u" 1; "e" "x" 2;
"a" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" 1; "c" "c" "r" "t" "x" 1; "d" "a" "b" "c" "i" "l" "q" "r" "u" 1; "e" "x" 2;
"a" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" 1; "c" "c" "l" "r" "t" "x" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" 1; "c" "c" "l" "r" "t" "x" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" "s" 1; "c" "c" "l" "r" "t" "x" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" "s" 1; "c" "c" "h" "l" "q" "r" "t" "v" "x" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" "s" 1; "c" "c" "h" "l" "q" "r" "t" "v" "x" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" "s" 1; "c" "c" "h" "l" "q" "r" "t" "v" "x" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "n" "s" 1; "c" "c" "h" "l" "q" "r" "t" "v" "x" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "h" "l" "p" "q" "r" "t" "v" "x" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "h" "l" "p" "q" "r" "t" "v" "x" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "h" "l" "p" "q" "r" "t" "v" "x" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "i" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "i" "j" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "i" "j" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "i" "j" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "i" "j" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "i" "j" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "i" "j" "n" "s" 1; "c" "c" "g" "h" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
"a" "b" "c" "d" "e" "g" "k" "m" "u" 1; "b" "d" "i" "j" "n" "s" 1; "c" "c" "g" "h" "i" "l" "p" "q" "r" "t" "v" "x" "y" 1; "d" "r" 2; "e" "h" "x" 2;
