none
none
none
none
none
none
none
none
none
none
none
none
"a" "g" 1;
"a" "g" 1;
"a" "g" 1;
"a" "g" 1;
"a" "g" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" 1; "e" "f" 1;
"a" "g" "x" 1; "e" "f" "h" 1;
"a" "g" "x" 1; "e" "b" "f" "h" 1;
"a" "g" "x" 1; "e" "b" "f" "h" 1;
"a" "g" "x" 1; "b" "i" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" 1; "d" "f" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "c" "r" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "c" "r" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "d" "g" "h" "x" 1; "b" "i" "t" 1; "c" "r" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "x" 1; "b" "i" 2; "c" "r" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "x" 1; "b" "i" 2; "c" "r" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "x" 1; "b" "i" 2; "c" "r" 1; "d" "f" "g" "l" "y" 1; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "u" "x" 1; "b" "i" 2; "c" "r" 1; "d" "y" 2; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "u" "x" 1; "b" "i" 2; "c" "r" 1; "d" "y" 2; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "u" "x" 1; "b" "i" 2; "c" "r" 1; "d" "y" 2; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "u" "x" 1; "b" "i" 2; "c" "r" 1; "d" "y" 2; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "u" "x" 1; "b" "i" 2; "c" "r" 1; "d" "y" 2; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "u" "x" 1; "b" "i" 2; "c" "r" 1; "d" "y" 2; "e" "b" "f" "h" 1;
"a" "b" "d" "g" "h" "u" "x" 1; "b" "i" 2; "c" "r" 1; "d" "y" 2; "e" "b" "f" "h" 1;
