none
none
none
none
none
none
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"b" "s" 1; "c" "p" 1;
"b" "s" 1; "c" "p" 1;
"b" "s" 1; "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"b" "s" 1; "c" "c" "p" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" "g" 1; "b" "s" 1; "c" "c" "p" 1; "d" "v" 1;
"a" "d" "g" "s" 1; "b" "l" "s" 1; "c" "c" "p" 1; "d" "v" 1; "e" "v" 1;
"a" "c" "d" "g" "s" 1; "b" "g" "l" "s" 1; "c" "c" "p" 1; "d" "v" 1; "e" "v" "y" 1;
"a" "c" "d" "g" "s" 1; "b" "g" "l" "s" 1; "c" "c" "p" 1; "d" "v" 1; "e" "v" "y" 1;
"a" "c" "d" "g" "s" 1; "b" "g" 2; "c" "c" "p" 1; "d" "v" 1; "e" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" 1; "d" "v" 1; "e" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" 1; "d" "v" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" 1; "d" "v" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "s" 1; "d" "s" "v" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "s" 1; "d" "s" "v" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "s" 1; "d" "s" "v" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "s" 1; "d" "s" "v" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "s" 1; "d" "s" "v" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "s" 1; "d" "s" "v" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "s" "t" 1; "d" "s" "v" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "s" "t" 1; "d" "s" "v" "z" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "s" "t" 1; "d" "s" "v" "z" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "s" "t" 1; "d" "s" "v" "z" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "z" 1; "b" "g" 2; "c" "c" "p" "r" "s" "t" 1; "d" "s" "v" "z" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "s" "w" "z" 1; "b" "g" 2; "c" "c" "p" "r" "s" "t" 1; "d" "m" "s" "v" "z" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "o" "s" "w" "z" 1; "b" "g" 2; "c" "p" 2; "d" "m" "s" "v" "z" 1; "e" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "o" "s" "u" "w" "z" 1; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "k" "m" "s" "v" "y" 1;
"a" "c" "d" "g" "o" "s" "u" "w" "z" 1; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "k" "m" "s" "v" "y" 1;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "k" "m" "s" "v" "y" 1;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "k" "m" "s" "v" "y" "z" 1;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "k" "m" "s" "u" "v" "y" "z" 1;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "k" "m" "s" "u" "v" "y" "z" 1;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "k" "m" "s" "u" "v" "y" "z" 1;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
"a" "s" 2; "b" "g" 2; "c" "p" 2; "d" "a" "m" "s" "v" "z" 1; "e" "s" 2;
