none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "d" "t" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "d" "t" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "d" "t" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "d" "t" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "d" "t" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "d" "j" "t" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "d" "j" "t" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "d" "j" "t" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "d" "j" "t" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "d" "j" "t" 1; "e" "b" 1;
"a" "f" "j" "v" 1; "b" "q" "r" 1; "c" "p" "q" "w" "x" 1; "d" "h" "j" "t" 1; "e" "b" 1;
"a" "f" "j" "v" 1; "b" "q" "r" 1; "c" "p" "q" "w" "x" 1; "d" "h" "j" "t" 1; "e" "b" 1;
"a" "f" "j" "v" 1; "b" "q" "r" 1; "c" "p" "q" "w" "x" 1; "d" "h" "j" "t" 1; "e" "b" "q" 1;
"a" "f" "j" "v" 1; "b" "q" "r" 1; "c" "p" "q" "w" "x" 1; "d" "h" "j" "t" 1; "e" "b" "q" 1;
"a" "f" "j" "k" "v" 1; "b" "q" "r" 1; "c" "p" "q" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" "j" "k" "v" 1; "b" "q" "r" 1; "c" "p" "q" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" "j" "k" "v" 1; "b" "q" "r" 1; "c" "p" "q" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" "j" "k" "v" 1; "b" "q" "r" 1; "c" "p" "q" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" "j" "k" "v" 1; "b" "q" "r" 1; "c" "p" "q" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
