none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "r" 1;
"b" "r" 1;
"b" "r" 1;
"b" "r" 1;
"a" "n" 1; "b" "r" 1;
"a" "n" 1; "b" "j" "r" 1; "c" "k" 1;
"a" "n" 1; "b" "j" "r" 1; "c" "k" 1;
"a" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "e" "y" 1;
"a" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "e" "y" 1;
"a" "b" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "d" "q" 1; "e" "y" 1;
"a" "b" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "d" "q" 1; "e" "y" 1;
"a" "b" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "d" "q" 1; "e" "y" 1;
"a" "b" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "d" "q" 1; "e" "y" 1;
"a" "b" "n" "r" 1; "b" "d" "j" "r" 1; "c" "k" 1; "d" "q" 1; "e" "y" 1;
"a" "b" "n" "r" 1; "b" "d" "j" "r" 1; "c" "a" "k" 1; "d" "q" 1; "e" "y" 1;
"a" "b" "i" "n" "r" 1; "b" "a" "d" "j" "r" 1; "c" "a" 2; "d" "q" 1; "e" "y" 1;
"a" "b" "i" "n" "r" 1; "b" "a" "d" "j" "r" 1; "c" "a" 2; "d" "q" 1; "e" "w" "y" 1;
"a" "b" "i" "n" "r" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "q" 1; "e" "w" "y" 1;
"a" "b" "c" "h" "i" "n" "r" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "q" 1; "e" "w" "y" 1;
"a" "b" "c" "h" "i" "n" "r" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "o" "q" 1; "e" "w" "y" 1;
"a" "b" "c" "h" "i" "n" "r" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "o" "q" 1; "e" "w" "y" 1;
"a" "b" "c" "h" "i" "n" "r" "x" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "o" "q" 1; "e" "m" "u" "w" "y" "z" 1;
"a" "b" "c" "h" "i" "n" "r" "x" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "e" "o" "q" 1; "e" "m" "u" "w" "y" "z" 1;
"a" "b" "c" "h" "i" "n" "r" "x" "y" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "e" "o" "q" 1; "e" "m" "u" "w" "y" "z" 1;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "e" "o" "q" 1; "e" "m" "u" "w" "y" "z" 1;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "e" "o" "q" 1; "e" "m" "u" "w" "y" "z" 1;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "e" "o" "q" 1; "e" "m" "u" "w" "y" "z" 1;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "e" "o" "q" 1; "e" "w" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "a" "d" "j" "n" "r" 1; "c" "a" 2; "d" "e" "o" "q" 1; "e" "w" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "d" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "d" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "d" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "d" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "d" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "d" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "d" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "c" "d" "e" "o" "q" 1; "e" "w" "z" 2;
"a" "b" "c" "h" "i" "n" "o" "r" "x" "y" 1; "b" "n" 2; "c" "a" 2; "d" "b" "c" "d" "e" "o" "q" 1; "e" "w" "z" 2;
