none
none
none
none
none
none
none
none
none
none
"e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" "e" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"a" "s" 1; "b" "r" 1; "c" "c" "e" "k" "l" "q" "s" 1; "d" "h" 1; "e" "g" "h" 1;
"a" "s" 1; "b" "r" 1; "c" "c" "e" "k" "l" "q" "s" 1; "d" "h" 1; "e" "g" "h" 1;
"a" "s" 1; "b" "r" 1; "c" "c" "e" "k" "l" "q" "s" 1; "d" "h" 1; "e" "g" "h" 1;
"a" "s" 1; "b" "r" 1; "c" "c" "e" "k" "l" "q" "s" 1; "d" "h" 1; "e" "g" "h" 1;
"a" "s" 1; "b" "r" 1; "c" "c" "e" "k" "l" "q" "s" 1; "d" "h" 1; "e" "f" "g" "h" 1;
"a" "s" 1; "b" "r" 1; "c" "q" 2; "d" "h" 1; "e" "f" "g" "h" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" 1; "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" 1; "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" 1; "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" 1; "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" 1; "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" 1; "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "r" "w" 1; "c" "q" 2; "d" "h" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "e" "r" "w" 1; "c" "q" 2; "d" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "e" "r" "w" 1; "c" "q" 2; "d" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "e" "r" "w" 1; "c" "q" 2; "d" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "e" "r" "w" 1; "c" "q" 2; "d" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "e" "r" "w" 1; "c" "q" 2; "d" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "e" "r" "w" 1; "c" "q" 2; "d" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" 1; "b" "a" "e" "r" "w" 1; "c" "q" 2; "d" "e" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" 1;
"a" "k" "s" "t" 1; "b" "a" "e" "r" "w" 1; "c" "q" 2; "d" "e" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" "t" 1;
"a" "k" "s" "t" 1; "b" "a" "e" "r" "w" 1; "c" "q" 2; "d" "e" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" "t" 1;
"a" "k" "s" "t" 1; "b" "a" "e" "r" "w" 1; "c" "q" 2; "d" "e" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" "t" 1;
"a" "k" "s" "t" 1; "b" "a" "e" "r" "w" 1; "c" "q" 2; "d" "e" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" "t" 1;
"a" "k" "s" "t" 1; "b" "a" "e" "r" "w" 1; "c" "q" 2; "d" "e" "h" "m" "r" "y" 1; "e" "e" "f" "g" "h" "q" "t" 1;
"a" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "e" "f" "g" "h" "q" "t" 1;
"a" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "e" "f" "g" "h" "q" "t" 1;
"a" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "e" "f" "g" "h" "q" "t" 1;
"a" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "e" "f" "g" "h" "q" "t" 1;
"a" "h" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "e" "f" "g" "h" "q" "t" 1;
