none
none
none
none
none
none
none
none
none
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "k" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "k" 1; "b" "e" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "e" "k" 1; "b" "e" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "e" "k" 1; "b" "e" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "e" "k" 1; "b" "e" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "e" "k" 1; "b" "e" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" 1;
"a" "e" "k" 1; "b" "e" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "e" 1; "c" "f" "k" "l" 1; "d" "q" 1; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "e" 1; "c" "f" "k" "l" 1; "d" "m" "q" 1; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "e" 1; "c" "f" "k" "l" 1; "d" "m" "q" 1; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "d" "e" 1; "c" "f" "k" "l" 1; "d" "m" 2; "e" "e" "h" 1;
"a" "e" "k" 1; "b" "d" "e" 1; "c" "f" "k" "l" 1; "d" "m" 2; "e" "e" "h" 1;
