none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "u" 1; "b" "a" 1;
"a" "u" 1; "b" "a" 1;
"a" "u" 1; "b" "a" 1;
"a" "u" 1; "b" "a" 1; "d" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "u" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "u" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "u" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "t" "u" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "t" "u" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "t" "u" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "t" "u" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "t" "u" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 2; "c" "c" 1; "d" "a" "b" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 2; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 2; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 2; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" "t" 2; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" "t" 2; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" 1; "e" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" "r" 1; "e" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" 1; "d" "a" "b" "m" "r" 1; "e" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" 1; "d" "a" "b" "m" "r" 1; "e" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" 1; "d" "a" "b" "m" "r" 1; "e" "h" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" 1; "d" "a" "b" "m" "r" 1; "e" "h" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" 1; "d" "a" "b" "m" "r" 1; "e" "h" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" 1; "d" "a" "b" "m" "r" 1; "e" "h" "j" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" 1; "d" "a" "b" "m" "r" 1; "e" "h" "j" "z" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" 1; "d" "a" "b" "m" "r" 1; "e" "h" "j" "z" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" 1; "d" "a" "b" "m" "p" "r" 1; "e" "h" "j" "z" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" "r" 1; "d" "a" "b" "m" "p" "r" "y" 1; "e" "h" "j" "z" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" "r" 1; "d" "a" "b" "m" "p" "r" "y" 1; "e" "h" "j" "z" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" "r" 1; "d" "a" "b" "m" "p" "r" "y" 1; "e" "h" "j" "z" 1;
"a" "e" "r" "t" "u" "v" 1; "b" "a" 3; "c" "a" "c" "p" "r" 1; "d" "a" "b" "m" "p" "r" "y" 1; "e" "g" "h" "j" "l" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "i" "p" "r" 1; "d" "a" "b" "m" "p" "r" "y" 1; "e" "g" "h" "j" "l" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "i" "p" "r" 1; "d" "y" 2; "e" "g" "h" "j" "l" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "i" "p" "r" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "w" "z" 1;
