none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "e" 1;
"a" "e" 1;
"a" "e" 1;
"a" "e" 1;
"a" "e" "g" 1;
"a" "e" "g" 1;
"a" "e" 2;
"a" "e" 2; "e" "b" 1;
"a" "e" 2; "e" "b" 1;
"a" "e" 2; "e" "b" "m" 1;
"a" "e" 2; "e" "b" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "m" 1;
"a" "e" 2; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" 1; "c" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" 1; "c" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "e" "b" "g" "k" "m" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" "w" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "s" 1; "c" "f" "p" "w" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" 1; "d" "c" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" 1; "d" "c" "o" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" 1; "d" "c" "o" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" 1; "d" "c" "o" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" 1; "d" "c" "o" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" 1; "d" "c" "o" "p" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" 1; "d" "c" "o" "p" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" "g" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" "z" 1; "d" "c" "o" "p" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" "g" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" "z" 1; "d" "c" "o" "p" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" "g" 2; "b" "k" "l" "m" "s" 1; "c" "f" "p" "w" "z" 1; "d" "c" "o" "p" 1; "e" "b" "g" "j" "k" "m" "x" 1;
"a" "e" "g" 2; "b" "k" "l" "m" "s" "x" 1; "c" "f" "p" "w" "z" 1; "d" "c" "o" "p" 1; "e" "x" 2;
"a" "e" "g" 2; "b" "k" "l" "m" "s" "x" 1; "c" "f" "p" "s" "w" "z" 1; "d" "c" "o" "p" 1; "e" "x" 2;
"a" "e" "g" 2; "b" "k" "l" "m" "s" "x" 1; "c" "f" "p" "s" "w" "z" 1; "d" "c" "o" "p" 1; "e" "x" 2;
"a" "e" "g" 2; "b" "k" "l" "m" "s" "x" 1; "c" "f" "p" "s" "w" "x" "z" 1; "d" "p" 2; "e" "x" 2;
"a" "e" "g" 2; "b" "c" "k" "l" "m" "s" "x" 1; "c" "f" "p" "s" "w" "x" "z" 1; "d" "p" 2; "e" "x" 2;
"a" "e" "g" 2; "b" "c" "k" "l" "m" "s" "x" 1; "c" "f" "p" "s" "w" "x" "z" 1; "d" "c" "p" 2; "e" "x" 2;
"a" "e" "g" 2; "b" "c" "k" "l" "m" "s" "x" 1; "c" "f" "p" "s" "w" "x" "z" 1; "d" "c" "g" "p" 2; "e" "x" 2;
"a" "e" "g" 2; "b" "c" "k" "l" "m" "s" "x" 1; "c" "f" "p" "s" "w" "x" "z" 1; "d" "c" "g" "p" 2; "e" "x" 2;
"a" "e" "g" 2; "b" "c" "k" "l" "m" "s" "x" 1; "c" "f" "p" "s" "w" "x" "z" 1; "d" "c" "g" "p" 2; "e" "x" 2;
"a" "e" "g" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "f" "p" "s" "w" "x" "z" 1; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "m" "s" "t" "x" 1; "c" "w" 2; "d" "p" 3; "e" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "x" "z" 1; "c" "w" 2; "d" "p" 3; "e" "k" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "w" 2; "d" "p" 3; "e" "k" "x" 2;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "w" 2; "d" "p" 3; "e" "k" 3;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "w" 2; "d" "p" 3; "e" "k" 3;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" 3;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" 3;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" 3;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" 3;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" 3;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" 3;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" 3;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" 3;
"a" "e" "g" "h" 2; "b" "c" "k" "l" "s" "t" "u" "x" "z" 1; "c" "s" "w" 2; "d" "g" "p" 3; "e" "k" "x" 3;
