none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" 1; "e" "r" 1;
"c" "a" "c" "w" 1; "e" "b" "r" 1;
"c" "a" "c" "w" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" "c" "w" "z" 1; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "h" 1; "b" "i" "o" 1; "c" "a" 2; "e" "b" "r" 1;
"a" "f" "h" "u" 1; "b" "o" 2; "c" "a" 2; "e" "b" "r" 1;
"a" "f" "h" "u" 1; "b" "o" 2; "c" "a" 2; "d" "u" 1; "e" "b" "r" 1;
"a" "f" "h" "u" 1; "b" "o" 2; "c" "a" 2; "d" "u" 1; "e" "b" "r" 1;
"a" "f" "h" "u" 1; "b" "o" 2; "c" "a" 2; "d" "u" 1; "e" "b" "r" 1;
"a" "f" "h" "k" "s" "u" 1; "b" "o" 2; "c" "a" 2; "d" "u" 1; "e" "b" "r" 1;
"a" "f" "h" "k" "s" "u" 1; "b" "o" 2; "c" "a" 2; "d" "b" "u" 1; "e" "b" "r" 1;
"a" "f" "h" "k" "s" "u" 1; "b" "o" 2; "c" "a" 2; "d" "b" "u" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "u" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "u" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "c" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "u" "y" 1; "e" "b" "c" "k" "r" 1;
"a" "s" 2; "b" "o" 2; "c" "a" "z" 2; "d" "b" "c" "s" "u" "y" 1; "e" "b" "c" "k" "r" 1;
