none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "b" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "b" 1; "c" "s" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "b" 1; "c" "s" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "a" "b" 1; "c" "s" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "a" "b" 1; "c" "s" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "a" "b" 1; "c" "s" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "a" "b" 1; "c" "s" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "a" "b" 1; "c" "s" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "a" "b" 1; "c" "s" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "a" "b" "j" 1; "c" "s" 1; "d" "s" 1; "e" "b" "s" 1;
"a" "b" "c" 1; "b" "a" "b" "j" 1; "c" "s" 1; "d" "s" 1; "e" "b" "s" 1;
"a" "b" "c" 1; "b" "a" "b" "j" 1; "c" "s" 1; "d" "s" 1; "e" "b" "s" 1;
"a" "b" "c" 1; "b" "a" "b" "j" 1; "c" "s" 1; "d" "s" 1; "e" "b" "s" 1;
"a" "b" "c" "j" "t" 1; "b" "a" "b" "j" 1; "c" "s" 1; "d" "s" 1; "e" "b" "s" 1;
"a" "b" "c" "j" "t" 1; "b" "a" "b" "j" 1; "c" "s" 1; "d" "s" 1; "e" "b" "s" 1;
"a" "b" "c" "j" "t" 1; "b" "a" "b" "j" 1; "c" "s" 1; "d" "s" 1; "e" "b" "s" 1;
"a" "c" 2; "b" "a" "b" "j" 1; "c" "s" 1; "d" "f" "s" 1; "e" "b" "s" 1;
"a" "c" 2; "b" "a" "b" "j" 1; "c" "s" 1; "d" "b" "f" "j" "s" 1; "e" "b" "s" 1;
"a" "c" 2; "b" "a" "b" "j" 1; "c" "s" 1; "d" "b" "f" "j" "s" 1; "e" "b" "s" 1;
