none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "k" 1;
"c" "k" 1;
"c" "k" 1; "d" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "f" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "f" "k" "l" 1; "d" "l" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "m" 1; "c" "f" "k" "l" 1; "d" "l" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "m" 1; "c" "f" "k" "l" 1; "d" "l" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "m" "t" 1; "c" "f" "k" "l" "n" 1; "d" "l" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "l" "t" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "l" "t" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "l" "t" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "l" "t" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "l" "t" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "l" "t" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "l" "t" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "f" "h" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "l" "o" "t" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "f" "h" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "l" "o" "t" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "f" "h" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "l" "o" "t" "u" 1; "e" "e" 1;
"a" "d" 1; "b" "f" "h" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" 1;
"a" "d" "v" 1; "b" "f" "h" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" 1;
"a" "d" "v" 1; "b" "f" "h" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" 1;
