none
none
none
none
none
none
none
none
none
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" "k" 1; "c" "o" 1;
"b" "j" "k" 1; "c" "o" 1;
"b" "j" "k" 1; "c" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "a" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "a" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "a" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "a" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "a" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "a" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "a" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "a" "k" "o" "x" 1;
"a" "m" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "a" "k" "o" "x" 1;
"a" "a" "m" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" "v" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" "v" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" "v" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" "v" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" "v" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" "v" "w" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" "v" "w" 1; "b" "b" "f" "j" "k" "o" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "m" "p" "u" "v" "w" 1; "b" "b" "f" "j" "k" "l" "n" "o" "t" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "b" "f" "j" "k" "l" "n" "o" "r" "t" 1; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "k" 2; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "k" 2; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "k" 2; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "k" 2; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "k" 2; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "j" "k" 2; "c" "c" "e" "j" "o" 1; "d" "k" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "j" "k" 2; "c" "c" "e" "j" "o" 1; "d" "k" "r" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" 1; "d" "k" "r" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" 1; "d" "k" "r" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" 1; "d" "k" "r" 2; "e" "o" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "a" "h" "m" "p" "q" "u" "v" "w" 1; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" "k" "n" 2; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
