none
none
none
none
none
none
none
none
none
none
none
none
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"a" "g" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1; "d" "r" 1;
"a" "g" "r" 1; "c" "j" 1; "d" "r" 1;
"a" "g" "r" 1; "c" "j" 1; "d" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" "s" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" "s" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" "s" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "b" "j" "o" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "b" "j" "o" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "b" "f" "j" "o" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "b" "f" "j" "o" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "r" 2; "b" "y" 1; "c" "b" "f" "j" "o" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "r" 2; "b" "y" 1; "c" "b" "f" "j" "o" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "r" 2; "b" "y" 1; "c" "b" "f" "j" "o" "u" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "r" 2; "b" "y" 1; "c" "b" "f" "j" "o" "u" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "r" 2; "b" "y" 1; "c" "b" "f" "j" "o" "u" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "r" 2; "b" "j" "y" 1; "c" "b" "f" "j" "o" "u" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "r" 2; "b" "j" "y" 1; "c" "b" "f" "j" "o" "u" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "r" 2; "b" "j" "y" 1; "c" "b" "f" "j" "o" "u" 1; "d" "k" "r" "s" 1; "e" "u" 1;
"a" "r" 2; "b" "j" "q" "y" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "k" "r" "s" "v" 1; "e" "u" 1;
"a" "r" 2; "b" "j" "q" "y" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "k" "r" "s" "v" 1; "e" "u" 1;
"a" "r" 2; "b" "g" "j" "q" "y" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "k" "r" "s" "v" 1; "e" "q" "u" 1;
"a" "r" 2; "b" "g" "j" "q" "y" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "k" "r" "s" "v" 1; "e" "q" "u" 1;
"a" "r" 2; "b" "g" "j" "q" "y" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "k" "r" "s" "v" 1; "e" "q" "u" 1;
"a" "r" 2; "b" "g" "j" "q" "y" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "k" "r" "s" "v" 1; "e" "q" "u" 1;
"a" "g" "r" 2; "b" "g" "j" "q" "y" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "s" 2; "e" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "q" "y" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "s" 2; "e" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "q" "y" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "s" 2; "e" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "q" "y" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "q" "y" "z" 1; "c" "b" "f" "j" "o" "u" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "q" "y" "z" 1; "c" "b" "f" "j" "m" "o" "u" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "q" "y" "z" 1; "c" "b" "f" "j" "m" "o" "u" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "q" "y" "z" 1; "c" "b" "f" "j" "m" "o" "u" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "q" "y" "z" 1; "c" "b" "f" "j" "m" "o" "u" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "q" "y" "z" 1; "c" "b" "f" "j" "m" "o" "u" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "q" "y" "z" 1; "c" "b" "f" "j" "m" "o" "u" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "q" "y" "z" 1; "c" "b" "f" "i" "j" "m" "o" "u" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "q" "y" "z" 1; "c" "b" "f" "i" "j" "m" "o" "u" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "q" "y" "z" 1; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "p" "q" "v" "y" "z" 1; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "g" "j" "o" "p" "q" "v" "y" "z" 1; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
