none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "d" "l" 1;
"a" "w" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "d" "l" 1;
"a" "w" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "d" "l" 1;
"a" "w" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "d" "l" 1;
"a" "w" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "l" 2;
"a" "u" "w" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "l" 2;
"a" "u" "w" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "l" 2;
"a" "u" "w" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "l" 2;
"a" "u" "w" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "l" 2;
"a" "m" "u" "w" "x" 1; "b" "a" "b" "k" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "l" 2;
"a" "m" "u" "w" "x" 1; "b" "a" "b" "k" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "l" 2;
"a" "m" "u" "w" "x" 1; "b" "a" "b" "k" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "l" 2;
"a" "m" "u" "w" "x" 1; "b" "a" "b" "k" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" 1; "e" "l" 2;
"a" "m" "u" "w" "x" 1; "b" "a" "b" "k" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" "y" 1; "e" "l" 2;
"a" "m" "u" "w" "x" 1; "b" "a" "b" "k" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" "y" 1; "e" "l" 2;
"a" "m" "u" "w" "x" 1; "b" "a" "b" "k" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" "y" 1; "e" "l" 2;
"a" "m" "u" "w" "x" 1; "b" "a" "b" "k" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" "y" 1; "e" "l" 2;
"a" "m" "u" "w" "x" 1; "b" "a" "b" "k" "s" "t" 1; "c" "c" "x" "y" 1; "d" "d" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" "b" "k" "s" "t" 1; "c" "c" 2; "d" "d" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" "b" "k" "s" "t" 1; "c" "c" 2; "d" "d" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" 2; "c" "c" 2; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" 2; "c" "c" 2; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" 2; "c" "c" 2; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" 2; "c" "c" 2; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 2;
"a" "w" "x" 2; "b" "a" "b" 2; "c" "c" 3; "d" "b" "d" "e" "y" 1; "e" "l" 3;
"a" "w" "x" 2; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "u" "y" 1; "e" "l" 3;
"a" "w" "x" 2; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "u" "y" 1; "e" "l" 3;
"a" "w" "x" 2; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "u" "y" 1; "e" "l" 3;
