none
none
none
none
none
none
none
none
none
none
none
"c" "x" 1;
"a" "w" 1; "c" "x" 1;
"a" "w" 1; "c" "x" 1;
"a" "w" 1; "c" "x" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "b" "x" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "b" "c" "x" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "s" "w" 1; "b" "c" "x" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "s" "w" 1; "b" "c" "x" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "s" "w" 1; "b" "c" "x" 1; "c" "x" 1; "d" "u" "y" 1; "e" "u" 1;
"a" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "u" "y" 1; "e" "u" 1;
"a" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "u" "y" 1; "e" "u" 1;
"a" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "u" 1;
