none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"b" "o" 1;
"a" "o" 1; "b" "o" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "o" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "o" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "d" "r" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "d" "r" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "d" "r" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "d" "r" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" 1; "c" "c" "o" "p" 1; "d" "h" "m" "r" 1; "e" "m" 1;
"a" "o" "q" 1; "b" "o" "q" 1; "c" "c" 2; "d" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "o" "q" 1; "b" "o" "q" 1; "c" "c" 2; "d" "a" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "o" "q" 1; "b" "o" "q" 1; "c" "c" 2; "d" "a" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "o" "q" 1; "b" "o" "q" 1; "c" "c" 2; "d" "a" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "f" "o" "q" 1; "b" "o" "q" 1; "c" "c" 2; "d" "a" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "t" 1; "c" "c" 2; "d" "a" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "t" 1; "c" "c" 2; "d" "a" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "t" 1; "c" "c" 2; "d" "a" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "t" 1; "c" "c" 2; "d" "a" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "t" 1; "c" "c" 2; "d" "a" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "t" 1; "c" "c" 2; "d" "a" "h" "m" "r" 1; "e" "m" "u" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "t" 1; "c" "c" 2; "d" "a" "f" "h" "m" "r" 1; "e" "c" "m" "u" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "t" 1; "c" "c" 2; "d" "a" "f" "h" "m" "r" 1; "e" "c" "m" "u" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "a" "f" "h" "m" "r" 1; "e" "c" "m" "u" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "a" "f" "h" "m" "r" "s" 1; "e" "c" "m" "u" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "a" "f" "g" "h" "m" "r" "s" 1; "e" "c" "m" "u" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "a" "f" "g" "h" "m" "r" "s" 1; "e" "c" "m" "u" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "a" "f" "g" "h" "m" "r" "s" 1; "e" "c" "h" "m" "u" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "a" "f" "g" "h" "m" "r" "s" 1; "e" "c" "h" "m" "u" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "a" "f" "g" "h" "m" "r" "s" 1; "e" "c" "h" "m" "u" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "h" "m" "u" "v" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "h" "m" "u" "v" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" 1;
"a" "f" "o" "q" "u" 1; "b" "o" "q" "r" "t" 1; "c" "c" 2; "d" "h" 2; "e" "c" "d" "h" "m" "u" "v" "w" 1;
