none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "f" 1;
"a" "f" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" "w" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" 1; "b" "u" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" 1; "b" "u" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
